rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url,lastfm_tags,album,release_date,days_since_release,streak
11,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",257361,,11,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; best of 2024; soty; synthpop; singer-songwriter,The Tortured Poets Department (Webstore Exclusive),,,1
28,The Tortured Poets Department,Taylor Swift,187526,,28,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; synthpop; best of 2024; singer-songwriter; 2024,THE TORTURED POETS DEPARTMENT,,,1
33,My Boy Only Breaks His Favorite Toys,Taylor Swift,179294,,33,1,https://i.scdn.co/image/ab67616d00001e0208c74a3a99b01a6d3933b169,pop; best of 2024; synthpop; female vocalists; taylor swift,THE TORTURED POETS DEPARTMENT,,,1
35,"So Long, London",Taylor Swift,172851,,35,1,https://i.scdn.co/image/ab67616d00001e0208c74a3a99b01a6d3933b169,pop; best of 2024; singer-songwriter; synthpop; wsum 91.7 fm madison,THE TORTURED POETS DEPARTMENT,,,1
38,Down Bad,Taylor Swift,168470,,38,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; synthpop; best of 2024; love at first listen; pop perfect,THE TORTURED POETS DEPARTMENT,,,1
49,But Daddy I Love Him,Taylor Swift,150377,,49,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; best of 2024; pop rock; colleen hoover; country,THE TORTURED POETS DEPARTMENT,,,1
52,Florida!!! (feat. Florence + The Machine),"Taylor Swift, Florence + The Machine",143830,,52,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; rock; alternative; country; pop rock; singer-songwriter; love at first listen; best of 2024; 2024; alternative pop,,,,1
56,I Can Do It With a Broken Heart,Taylor Swift,131611,,56,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; best of 2024; synthpop; dance-pop; soty,THE TORTURED POETS DEPARTMENT,2024-04-19,0,1
57,Who’s Afraid of Little Old Me?,Taylor Swift,129800,,57,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,love at first listen; pop; best of 2024; pop rock; taylor swift,THE TORTURED POETS DEPARTMENT [Clean] [Clean],,,1
60,Fresh Out The Slammer,Taylor Swift,126413,,60,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; colleen hoover; love at first listen; best of 2024,THE TORTURED POETS DEPARTMENT,,,1
62,Guilty as Sin?,Taylor Swift,124466,,62,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; best of 2024; singer-songwriter; pop rock; soty,THE TORTURED POETS DEPARTMENT,,,1
71,Cruel Summer,Taylor Swift,115176,60.0,36,198,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647,electropop; pop; synthpop; industrial pop; synthwave,Lover,2023-10-18,184,116
74,loml,Taylor Swift,114526,,74,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; sad; piano; ballad,THE TORTURED POETS DEPARTMENT,,,1
80,I Can Fix Him (No Really I Can),Taylor Swift,107997,,80,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,singer-songwriter; pop; love at first listen; sexy; soty,THE TORTURED POETS DEPARTMENT,2024-04-19,0,1
92,The Smallest Man Who Ever Lived,Taylor Swift,102621,,92,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; best of 2024; colleen hoover; chatgpt,THE TORTURED POETS DEPARTMENT,,,1
101,The Alchemy,Taylor Swift,97480,,101,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,chatgpt; pop; best of 2024; singer-songwriter; colleen hoover,THE TORTURED POETS DEPARTMENT,,,1
115,Clara Bow,Taylor Swift,90733,,115,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; chatgpt; colleen hoover; taylor swift,THE TORTURED POETS DEPARTMENT,,,1
