rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
56,Look What You Made Me Do,Taylor Swift,1054978,62,1,102
90,...Ready For It?,Taylor Swift,854356,105,3,93
104,Gorgeous,Taylor Swift,762740,121,7,4
107,End Game,"Taylor Swift, Ed Sheeran, Future",753049,132,107,4
130,I Did Something Bad,Taylor Swift,672532,157,130,4
139,Don’t Blame Me,Taylor Swift,639612,179,139,4
147,Delicate,Taylor Swift,622580,189,147,4
161,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",606551,161,2,338
164,Call It What You Want,Taylor Swift,595806,191,37,4
197,Getaway Car,Taylor Swift,512884,-1,197,1
