date,monthly_listeners,monthly_rank
2026-04-07,102225683,5
2026-04-08,102186187,5
2026-04-10,102214684,5
2026-04-11,102107993,5
2026-04-12,102107993,5
2026-04-13,102038503,5
2026-04-14,102073020,6
2026-04-15,102088945,6
2026-04-16,101993955,6
2026-04-17,101942188,6
2026-04-18,101942188,6
2026-04-19,101743897,6
2026-04-20,101802141,6
2026-04-21,101802141,6
2026-04-22,101694317,6
2026-04-23,101694317,6
2026-04-24,101578675,6
2026-04-25,101578675,6
2026-04-26,101644129,6
2026-04-27,101608725,6
2026-04-28,101560207,6
2026-04-29,101490262,6
2026-04-30,101490262,6
